,index,record_name,record_name_2,ref_code,ref_name,ref_unit
1044,1047,Клапан КСП-2-НО-MB(220)-600x300,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-600х300-НО-К-BF-220 Вентзащита,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1045,1048,Клапан КСП-2-НО-MB(220)-700x400,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-700х400-НО-К-BF-220 Вентзащита,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1046,1049,Клапан КСП-2-НО-MB(220)-700x500,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-700х500-НО-К-BF-220 Вентзащита,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1047,1050,Клапан КСП-2-НО-MB(220)-ф100,Клапан противопожарный универсальный круглого сечения ВКС-2М(90)-100-НО-К-BF-220 Вентзащита,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1048,1051,Клапан КСП-2-НО-MB(220)-ф160,Клапан противопожарный универсальный круглого сечения ВКС-2М(90)-160-НО-К-BF-220 Вентзащита,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1049,1052,"Клапан обратный 1"", (04)",Клапан Thermex предохранително-обратный Dn 15,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1050,1053,Клапан обратный ПТК КГО-Р на (разрыв рукава),"Клапан обратный КО-К-30, KRASS",28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1051,1054,Клапан обратный ПТК ККО-Р на (разрыв рукава),"Клапан обратный КО-Г-30, KRASS",28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1052,1055,Обратный клапан «захлопка» А-397-80 Ду100,Обратный клапана «Захлопка» Ду100,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1053,1056,Обратный клапана «Захлопка» Ду100,Обратный клапана «Захлопка» Ду100,28.14.11.131.18.1.04.01-0001-000,"Клапан обратный мембранный, номинальный диаметр 90 мм",шт
1054,1057,KRASS Клапан обратный КО-Г-ЗО в разрыв рукава 2855576,"Клапан обратный КО-Г-30, KRASS",28.14.11.131.19.3.01.09-0041-000,"Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, КО-01, диаметр 315 мм",шт
1055,1058,KRASS Клапан обратный КО-К-ЗО в разрыв рукава 2855577,"Клапан обратный КО-К-30, KRASS",28.14.11.131.19.3.01.09-0041-000,"Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, КО-01, диаметр 315 мм",шт
1056,1059,"Клапан обратный КО-Г-30 Горючий газ в разрыв рукава 6,3/9,0 мм/6,3/9,0 мм (2855576) КРАСС",Клапан огнепреградительный газовый КОГ-Р (в разрыв рукава),28.14.11.131.19.3.01.09-0041-000,"Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, КО-01, диаметр 315 мм",шт
1057,1060,"Клапан обратный КО-Г-30 Горючий газ в разрыв рукава 6,3/9,0 мм/6,3/9,0 мм, KRASS",Клапан огнепреградительный газовый КОГ-Р (в разрыв рукава),28.14.11.131.19.3.01.09-0041-000,"Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, КО-01, диаметр 315 мм",шт
1058,1061,"Клапан обратный КО-К-30 Кислород в разрыв рукава 6,3/9,0 мм/6,3/9,0 мм (2855577) КРАСС",Клапан огнепреградительный кислородный КОК-Р (в разрыв рукава),28.14.11.131.19.3.01.09-0041-000,"Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, КО-01, диаметр 315 мм",шт
1059,1062,Клапан обратный КО-К-ЗО в разрыв рукава KRASS,Клапан огнепреградительный кислородный КОК-Р (в разрыв рукава),28.14.11.131.19.3.01.09-0041-000,"Клапан обратный общего назначения из листовой и сортовой стали круглого сечения, КО-01, диаметр 315 мм",шт
1060,1063,"Клапан термост-ий с преднастр-ой осевой (с доп. уплотн.), 1/2"" с перех. на ""евроконус""",Клапан термостатический угловой горизонтальный RTR-N 15 013G7048 Danfoss,28.14.11.131.18.1.04.07-0021-000,"Клапан обратный осевой латунный, размер 1 1/2""",шт
1061,1064,Клапан обратный шаровый фланцевый GENEBRE DN 50 PN16,Клапан обратный чугун шаровой Ду 50 Ру16 Тмакс=80 оС ВР шар,28.14.11.131.18.1.04.02-0041-000,"Клапан обратный поворотный 19лс53нж (КОП-40), присоединение к трубопроводу фланцевое, номинальное давление 4,0 МПа, номинальный диаметр 50 мм",шт
1062,1065,"Клапан KRASS КО-К-30 обратный кислород в разрыв рукава, Рабочее давление 1.25 МПа","Клапан KRASS КО-К-30 обратный кислород в разрыв рукава, Рабочее давление 1.25 МПа",28.14.11.131.18.1.04.02-0001-000,"Клапан обратный поворотный однодисковый 19ч21бр, присоединение к трубопроводу межфланцевое, номинальное давление 1,6 МПа, номинальный диаметр 50 мм",шт
1063,1066,"Клапан KRASS КО-К-30 обратный пропан в разрыв рукава, Рабочее давление 0.3 МПа","Клапан KRASS КО-К-30 обратный пропан в разрыв рукава, Рабочее давление 0.3 МПа",28.14.11.131.18.1.04.02-0001-000,"Клапан обратный поворотный однодисковый 19ч21бр, присоединение к трубопроводу межфланцевое, номинальное давление 1,6 МПа, номинальный диаметр 50 мм",шт
1064,1067,Клапан обр лат пруж Ду50 Ру16 м/м д/лат Китай,"клапан обратный пружинный латунный, латунный шток ду50 ру16",28.14.11.131.18.1.04.05-1000-000,"Клапан обратный проходной латунный, номинальное давление 1,6 МПа, присоединение 1/2""х1/2"", номинальный диаметр 15 мм",шт
1065,1068,"Клапан обратный  2"" (пластик.шток) PN16 (до +80°) латунь STI 45155","клапан обратный пружинный латунный, латунный шток ду50 ру16",28.14.11.131.18.1.04.05-1000-000,"Клапан обратный проходной латунный, номинальное давление 1,6 МПа, присоединение 1/2""х1/2"", номинальный диаметр 15 мм",шт
1066,1069,"Клапан обратный (латунный сердечник) 2""","клапан обратный пружинный латунный, латунный шток ду50 ру16",28.14.11.131.18.1.04.05-1000-000,"Клапан обратный проходной латунный, номинальное давление 1,6 МПа, присоединение 1/2""х1/2"", номинальный диаметр 15 мм",шт
1067,1070,"Обратный клапан 2"" латунь ZZ-12-050","клапан обратный пружинный латунный, латунный шток ду50 ру16",28.14.11.131.18.1.04.05-1000-000,"Клапан обратный проходной латунный, номинальное давление 1,6 МПа, присоединение 1/2""х1/2"", номинальный диаметр 15 мм",шт
1068,1071,"Клапан предохранительный THERMEX 1/2"", 6 бар, с ручкой (блистер)","Клапан предохранительный THERMEX 1/2"", 6 бар, с ручкой (блистер)",28.14.11.141.18.1.05.01-0001-000,"Клапан предохранительный 17б2бк, малоподъемный, пружинный, номинальный диаметр 20 мм",шт
1069,1072,"Предохранительный клапан для бойлера СТМ ТЕРМО 1/2"", с курком, 6 Бар CRVP6B12. Срок поставки 2-3 недели",Клапан Thermex предохранително-обратный Dn 15,28.14.11.141.18.1.05.01-0001-000,"Клапан предохранительный 17б2бк, малоподъемный, пружинный, номинальный диаметр 20 мм",шт
1070,1073,"Предохранительный клапан для бойлера СТМ ТЕРМО 1/2"", с курком, 6 Бар CRVP6B12. Срок поставки 3-4 недели","Клапан предохранительный THERMEX 1/2"", 6 бар, с ручкой (блистер)",28.14.11.141.18.1.05.01-0001-000,"Клапан предохранительный 17б2бк, малоподъемный, пружинный, номинальный диаметр 20 мм",шт
1071,1074,Клапан предохр угл лат Ду 15x1 5 ВР Рн0.5-16 OR 0111.315,"Клапан пердохранительный латунный, муфтовый, Ду15, Pнастр. 0,5-16 бар, Тмакс. = 180 C, Py16 OR.1831-1/2"" ""Officine Rigamonti"",",28.14.11.141.18.1.05.02-0011-000,"Клапан предохранительный регулируемый муфтовый латунный, номинальное давление 0,1-1,2 МПа, номинальный диаметр 15 мм",шт
1072,1075,Клапан противопожарный СЛ-КПК 90НО-MB220-100,Клапан противопожарный универсальный круглого сечения ВКС-2М(90)-100-НО-К-BF-220 Вентзащита,28.14.11.141.19.3.01.13-0044-000,"Клапан противопожарный с пружинным приводом в комбинации с тепловым замком, тип КПС-1 (60), диаметр 800 мм",шт
1073,1076,Клапан противопожарный СЛ-КПК 90НО-MB220-160,Клапан противопожарный универсальный круглого сечения ВКС-2М(90)-160-НО-К-BF-220 Вентзащита,28.14.11.141.19.3.01.13-0044-000,"Клапан противопожарный с пружинным приводом в комбинации с тепловым замком, тип КПС-1 (60), диаметр 800 мм",шт
1074,1077,Клапан противопожарный СЛ-КПП 90НО-MB220-500x300,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-500х300-НО-К-BF-220 Вентзащита,28.14.11.141.19.3.01.13-0044-000,"Клапан противопожарный с пружинным приводом в комбинации с тепловым замком, тип КПС-1 (60), диаметр 800 мм",шт
1075,1078,Клапан противопожарный СЛ-КПП 90НО-MB220-600x300,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-600х300-НО-К-BF-220 Вентзащита,28.14.11.141.19.3.01.13-0044-000,"Клапан противопожарный с пружинным приводом в комбинации с тепловым замком, тип КПС-1 (60), диаметр 800 мм",шт
1076,1079,Клапан противопожарный СЛ-КПП 90НО-MB220-700x400,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-700х400-НО-К-BF-220 Вентзащита,28.14.11.141.19.3.01.13-0044-000,"Клапан противопожарный с пружинным приводом в комбинации с тепловым замком, тип КПС-1 (60), диаметр 800 мм",шт
1077,1080,Клапан противопожарный СЛ-КПП 90НО-MB220-700x500,Клапан противопожарный универсальный прямоугольный ВКС-2М(90)-700х500-НО-К-BF-220 Вентзащита,28.14.11.141.19.3.01.13-0044-000,"Клапан противопожарный с пружинным приводом в комбинации с тепловым замком, тип КПС-1 (60), диаметр 800 мм",шт
1078,1081,LV-KB клапан запорный 1/2 прямой,Клапан запорно-присоединительный RLV-K RLV-K Ø15-Ø20  003L0280 Danfoss,28.14.12.120.18.1.06.04-0003-000,"Клапан прямой/угловой латунный, никелированный, для двухтрубной системы отопления, номинальное давление 1,0 МПа, номинальный диаметр 15 мм",шт
1079,1082,LV-KB клапан запорный 1/2 прямой 003L0392RN,Клапан запорно-присоединительный RLV-K RLV-K Ø15-Ø20  003L0280 Danfoss,28.14.12.120.18.1.06.04-0003-000,"Клапан прямой/угловой латунный, никелированный, для двухтрубной системы отопления, номинальное давление 1,0 МПа, номинальный диаметр 15 мм",шт
1080,1084,"Клапан запорный Danfoss RLV-K 1/2""хЗ/4"" прямой",Клапан запорно-присоединительный RLV-K RLV-K Ø15-Ø20  003L0280 Danfoss,28.14.12.120.18.1.06.04-0003-000,"Клапан прямой/угловой латунный, никелированный, для двухтрубной системы отопления, номинальное давление 1,0 МПа, номинальный диаметр 15 мм",шт
1081,1085,"Клапан балансировочный 1 1/2""",Клапан запорно-балансировочный Danfoss CDT DN40,28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1082,1086,"Клапан балансировочный 1""","Клапан ручной балансировочный Danfoss MNT, DN25 003Z2333",28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1083,1087,"Клапан балансировочный 2""",Клапан запорно-балансировочный Danfoss CDT DN50,28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1084,1088,"Клапан балансировочный 3/4""","Клапан ручной балансировочный Danfoss MNT, DN20 003Z2332",28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1085,1089,Клапан балансировочный Danfoss APT Ду32 20-60 кПа,"Клапан автоматический балансировочный APT, диапазон настройки 20-60 кПа, DN32 APT 20-60 003Z5744 Danfoss",28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1086,1090,Клапан балансировочный Danfoss APT Ду40 20-60 кПа,"Клапан автоматический балансировочный APT, диапазон настройки 20-60 кПа, DN40 APT 20-60 003Z5745 Danfoss",28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1087,1091,Клапан балансировочный Danfoss MNT DN25,"Клапан ручной балансировочный Danfoss MNT, DN25 003Z2333",28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1088,1092,Клапан балансировочный Danfoss MNT Ду20,"Клапан ручной балансировочный Danfoss MNT, DN20 003Z2332",28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1089,1093,Клапан балансировочный Danfoss MVT DN50,Клапан запорно-балансировочный Danfoss CDT DN50,28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1090,1094,Клапан балансировочный Danfoss СDТ Ду40,Клапан запорно-балансировочный Danfoss CDT DN40,28.14.11.121.18.1.06.01-0092-000,"Клапан статический балансировочный латунный для систем отопления, ГВС, теплоснабжения, холодоснабжения, без измерительного порта, с внутренним резьбовым присоединением, давление 2,5 МПа, диаметр 20 мм",шт
1091,1095,TR-N клап. Терморег.  DN 15 UK 013G7048R,Клапан термостатический угловой горизонтальный RTR-N 15 013G7048 Danfoss,28.14.12.120.18.1.10.07-0001-000,"Клапан терморегулятора для однотрубной системы отопления, латунный никелированный, прямой, пропускная способность 2,3 м3/ч, номинальное давление 1,6 МПа, номинальный диаметр 15 мм",шт
1092,1096,TR-N клап. Терморег. DN 15 UK013G7048R,Клапан термостатический угловой горизонтальный RTR-N 15 013G7048 Danfoss,28.14.12.120.18.1.10.07-0001-000,"Клапан терморегулятора для однотрубной системы отопления, латунный никелированный, прямой, пропускная способность 2,3 м3/ч, номинальное давление 1,6 МПа, номинальный диаметр 15 мм",шт
1093,1097,"""""HYKOL KD FIBER 18кг(Высококачественный акриловый клей с армирующем ФИБРО волокном для суперпрочного приклеивания. Подходит для укладки ПВХ, резиновых покрытий, LVT и кварцвинила на абсорбирующие или слабо абсорбирующие основы. Фибро волокно придаёт повышенную устойчивость при интенсивных статических и динамических нагрузках""""",клей для линолеума,20.52.10.110.14.1.02.04-0102-000,Клей для укладки ПВХ-покрытий,кг
1094,1098,Клей KRASS контактный водно-дисперсионный 12 кг Л-С,клей для линолеума,20.52.10.110.14.1.02.04-0002-000,Клей контактный однокомпонентный на основе нитрильной резины и синтетических смол для приклейки кровельных ПВХ мембран,л
1095,1099,Клей для плитки Ceresit СМ 11 PRO (25кг),плиточный клей,23.64.10.110.14.1.06.02-0002-000,"Клей монтажный сухой для внутренних и наружных работ на основе цементного вяжущего, для плитки",т
1096,1100,Клей для плитки Ceresit СМ11 PRO 25 кг (48 шт./пал),плиточный клей,23.64.10.110.14.1.06.02-0002-000,"Клей монтажный сухой для внутренних и наружных работ на основе цементного вяжущего, для плитки",т
1097,1101,UNIS Клей плиточный Юнис-Плюс повыш.прочности 25кг 24668,плиточный клей,23.64.10.110.14.1.06.02-0001-000,"Клей монтажный сухой для внутренних и наружных работ, водостойкий на основе цементного вяжущего, для облицовочных работ",т
1098,1102,Клей плиточный для наружных и внутренних работ PLITONIT В+ 25кг (С1ТЕ),плиточный клей,23.64.10.110.14.1.06.02-0001-000,"Клей монтажный сухой для внутренних и наружных работ, водостойкий на основе цементного вяжущего, для облицовочных работ",т
1099,1103,Клей гипсовый ilmax 3120 15кг (60 шт/пал),"Клей гипсовый тонкослойный ""ВОЛМА-Монтаж или анолог",23.64.10.110.14.1.06.01-0003-000,Клей монтажный сухой для внутренних работ на основе гипсового вяжущего,т
1100,1104,Клей монтажный Пеноблок (40кг) PERFEKTA,Клей для газобетонных блоков Ceresit CT 21 (или аналог),23.64.10.110.14.1.06.01-0003-000,Клей монтажный сухой для внутренних работ на основе гипсового вяжущего,т
1101,1105,Смола эпоксидная R-KEX-II-600,Анкер химический 300мл EASF300,20.52.10.120.14.1.05.04-0109-000,"Клей эпоксидный двухкомпонентный для систем внешнего армирования, тиксотропная смесь бисфенол A/F эпоксидных смол, активных разбавителей, наполнителей, пигментов, целевых добавок (компонент A), алифматический аминный отвердитель (компонент B), плотность при 20 °C не более 1,85 г/см3, адгезия к бетону В30 не менее 2,5 МПа, цвет серый",кг
1102,1106,"Клей для плитки морозостойкий ILMAX 3000 (25кг/42,48шт/пл)",плиточный клей,20.52.10.110.14.1.02.01-0002-000,"Клей, марка БМК-5к",кг
1103,1107,Клей для плитки морозостойкий ILMAX 3000plus крупноформатный (25кг/42шт/пл),"Клей для плитки ilmax 3000 plus (до 60см), 25 кг (42 шт/пал)",20.52.10.110.14.1.02.01-0002-000,"Клей, марка БМК-5к",кг
1104,1108,"Битумный двухкомпонентный клей-герметик для пеностекла БМ-92 (комп А: 21 кг, комп. Б: 7 кг)",Утеплитель кашированные плиты из пеностекла Неопорм D110 или аналог λб=0.045 Вт/м*К - 130 мм,20.52.10.120.14.1.05.05-0002-000,"Клей-герметик кремнийорганический, марка Эласил 137-352",кг
1105,1109,Клемма заземления (латунные губки) Keean Crocodile 400 А,Клемма заземления 400А Clamp ESAB,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1106,1110,Клемма заземления 400А Clamp ESAB,Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1107,1111,Клемма заземления Varteg EC-500 (FoxWeld),Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1108,1112,Клемма заземления КЕДР  К3-50 PRIME 8011742,Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1109,1113,Клемма заземления КЕДР КЗ-50 PRIME,Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1110,1114,Клемма заземления КЕДР КЗ-50 PRIME 8011742,Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1111,1115,Клемма заземления КЕДР КЗ-50 PRIME..,Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1112,1116,"Клемма заземления КЗ-500, GCE KRASS",Клемма заземления КЗ-50 PRIME КЕДР,27.33.13.120.25.2.01.08-0001-000,Клемма заземления КС-124,шт
1113,1117,Комплект заземления безмуфтовый Зм 016мм (2x1500 мм) DKC,"Стержень заземления omex, длина 1,5 м, диаметр 20 мм, оцинкованный 219 20 OMEX FT",27.33.13.120.25.2.01.08-0002-000,Клемма заземления КС-124 в комплекте с клыковой шайбой КС-044,шт
1114,1118,016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950),016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950) d=50мм ЗАО «Связьстройдеталь» 110604-00014,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1115,1119,016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950) — 2-4 недели —,016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950) d=50мм ЗАО «Связьстройдеталь» 110604-00014,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1116,1121,016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950)— 2-4 недели —,016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950) d=50мм ЗАО «Связьстройдеталь» 110604-00014,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1117,1122,Кольцо резиновое уплотнительное для двустенной трубы d50 мм Промрукав,016050 Кольцо уплотнительное д/двуст.труб d=50мм (121950) d=50мм ЗАО «Связьстройдеталь» 110604-00014,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1118,1123,"Кольцо стеновое с футеровкой КС 15.6( фут), пазо-гребневым соединением, с уплотнительными кольцами ГОСТ 8020-2016","Кольцо стеновое с футеровкой  КС 15.6( фут), пазо-гребневым соединением,         с уплотнительными кольцами ГОСТ 8020-2016",22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1119,1124,Кольцо уплотнительное OD230/ID200K,"Трубы ""Корсис ПРО"" SN16 полимерные двухслойные гофрированные со структурирированной стенкой, муфтовые с уплотнительными кольцами DN/ID 225/200 мм",22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1120,1125,Кольцо уплотнительное OD230/ID200К,Кольцо уплотнительное OD230/ID200К,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1121,1126,Кольцо уплотнительное OD340/ID300K,"Трубы ""Корсис ПРО "" SN16 полимерные двухслойные гофрированные со структурирированной стенкой , муфтовые с уплотнительными кольцами DN/ОD 300х364мм",22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1122,1127,Кольцо уплотнительное OD340/ID300К,Кольцо уплотнительное OD340/ID300К,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1123,1128,Кольцо уплотнительное OD460/ID400K,"Трубы ""Корсис ПРО"" SN16 полимерные двухслойные гофрированные со структурирированной стенкой,раструбные DN/ID 400/487 мм",22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1124,1129,Кольцо уплотнительное OD460/ID400К,Кольцо уплотнительное OD460/ID400К,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1125,1130,Кольцо уплотнительное OD575/ID500K,"Трубы ""Корсис ПРО "" SN16полимерные двухслойные гофрированные со структурирированной стенкой , раструбныеDN/ID 500 х603мм ГОСТ54475-2011 ТУ22.21.21-001-73011750- Корсис",22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1126,1131,Кольцо уплотнительное OD575/ID500К,Кольцо уплотнительное OD575/ID500К,22.19.73.111.01.7.19.02-0031-000,Кольца резиновые уплотнительные для муфтового соединения стыков хризотилцементных труб диаметром условного прохода 150 мм,кг
1127,1132,"110301-00002 Кольцо опорное КО-1,5","Кольцо опорное КО-1,5 110301-00002 ЗАО «Связьстройдеталь»",23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1128,1133,Кольцо опорное КО 6,Кольцо опорное КО 6,23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1129,1134,"Кольцо опорное КО-1,5","Кольцо опорное КО-1,5 КО-1,5 ЗАО «Связьстройдеталь» 110301-00002",23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1130,1135,"Кольцо опорное КО-1,5 — 14 дней —","Кольцо опорное КО-1,5 КО-1,5 ЗАО «Связьстройдеталь» 110301-00002",23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1131,1137,"Кольцо опорное КО-1,5— 14 дней —","Кольцо опорное КО-1,5 КО-1,5 ЗАО «Связьстройдеталь» 110301-00002",23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1132,1138,"Кольцо опорное КО-1,5(срок постаки 14 дней поставка к поставщику + 4 недели до Клд)","Кольцо опорное КО-1,5(срок постаки 14 дней поставка к поставщику + 4 недели до Клд)",23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1133,1139,Кольцо опорное КО-6,Колодец перепадной железобетонный ∅1500мм (с внутренней футеровкой),23.61.12.159.05.1.01.09-0041-001,"Кольцо опорное железобетонное, КО-4-70, бетон В15, объем 0,02 м3, расход арматуры 0,5 кг",м3
1134,1140,Опорно -направляющее кольцо состоящее из двух полуколец ОН К РА/РЕ шаг опор 2.0м для труб 0426 мм,"Опорно -направляющее кольцо , состоящее из двух полуколец ОНК РА/РЕ шаг опор 2.0м для труб ∅426мм м",22.21.29.130.23.1.02.03-0001-000,"Кольцо стальное опорно-направляющее для труб, диаметр 50 мм",шт
1135,1141,Кольцо колодца КСф-10.6,Колодец сборный железобетонный ∅1500мм (с внутренней футеровкой),23.61.12.159.05.1.01.09-0052-003,"Кольцо стеновое смотровых колодцев железобетонное КС15.6, бетон В15, объем 0,265 м3, расход арматуры 4,94 кг",м3
1136,1142,Кольцо колодца КСф-10.9,Колодец сборный железобетонный ∅1500мм (с внутренней футеровкой),23.61.12.159.05.1.01.09-0052-003,"Кольцо стеновое смотровых колодцев железобетонное КС15.6, бетон В15, объем 0,265 м3, расход арматуры 4,94 кг",м3
1137,1143,Кольцо колодца КСф-15.6,Дождеприемные колодцы ВД-8 ∅800мм,23.61.12.159.05.1.01.09-0052-003,"Кольцо стеновое смотровых колодцев железобетонное КС15.6, бетон В15, объем 0,265 м3, расход арматуры 4,94 кг",м3
1138,1144,Кольцо'колодца КСф-15.9,"Люки чугунные (тяжелый) тип ""л"" с шарнирным креплением для колодцев",23.61.12.159.05.1.01.09-0052-003,"Кольцо стеновое смотровых колодцев железобетонное КС15.6, бетон В15, объем 0,265 м3, расход арматуры 4,94 кг",м3
1139,1145,"Кольцо колодца КС-7.1,5",Колодец сборный железобетонный ∅1500мм (с внутренней футеровкой),23.61.12.159.05.1.01.09-0052-010,"Кольцо стеновое смотровых колодцев железобетонное КС7.3, бетон В15, объем 0,05 м3, расход арматуры 1,64 кг",м3
